hip,ra,dec,Vmag
2358,7.53618898,4.86011126,6.52
2377,7.58305272,59.97755442,5.94
2381,7.59439188,-23.78768034,5.17
2383,7.60882391,-48.2149104,5.67
2388,7.6159387,-40.93958587,6.18
2392,7.62211803,-39.51854717,6.6
2415,7.69646419,16.03761175,6.83
2422,7.72949979,77.01940431,6.18
2431,7.74954979,-10.08470015,6.86
2440,7.76654761,55.70261482,6.57
2455,7.80378056,43.94653955,6.76
2472,7.85408632,-48.80351439,4.76
2474,7.85512589,66.51961732,6.18
2475,7.85683233,33.58164217,5.88
2484,7.88611087,-62.95821764,4.36
2487,7.88945045,-62.96556114,4.53
2490,7.90036204,16.02091816,6.89
2491,7.90563071,9.16120135,6.99
2497,7.9214897,52.8395265,5.59
2505,7.94316214,54.52228873,4.74
2517,7.97868187,19.64296504,6.87
2537,8.04739482,53.8151038,6.94
2539,8.05855119,34.99388587,6.74
2548,8.09909149,6.95546321,5.69
2553,8.1116764,43.49479392,6.69
2557,8.12500483,51.72825585,6.94
2560,8.13298141,18.79488252,6.79
2565,8.14402159,27.58075887,6.68
2568,8.14785798,20.29431643,5.38
2572,8.16411026,-25.35971437,6.72
2573,8.16478059,23.19342677,6.84
2576,8.17999872,38.84377096,6.9
2578,8.18293786,-63.03149984,5.07
2581,8.19804237,54.11994806,6.91
2583,8.20452929,28.28024062,6.26
2595,8.23258521,16.16723458,6.9
2599,8.24996522,62.93178271,4.17
2611,8.29331086,54.89498495,5.93
2628,8.330279,70.98184323,6.41
2629,8.34732858,-71.26624641,6.11
2661,8.42101003,-29.5582782,5.55
2663,8.43252523,-35.00207835,6.41
2695,8.54498182,10.29920037,6.76
2701,8.58117258,-42.43123897,6.88
2707,8.60383943,66.75035143,6.47
2708,8.60478648,-45.42583004,6.8
2710,8.61321144,-6.5039062,6.9
2711,8.61596951,-52.37309007,5.57
2734,8.73068052,13.37113666,6.39
2753,8.79006864,36.83223265,6.58
2762,8.81199674,-3.59284649,5.2
2782,8.87134516,54.20349976,6.95
2787,8.886806,-0.50560963,5.94
2789,8.88891067,-54.82187272,6.04
2796,8.9048886,67.92596016,6.92
2802,8.92156654,-48.00090673,5.51
2814,8.95288916,49.02114013,6.89
2832,8.97833944,13.2070673,6.32
2841,9.00370554,-59.71723967,6.91
2843,9.00772486,-5.57072055,6.72
2846,9.01315183,-14.97303508,6.45
2852,9.02857219,-22.84233332,6.06
2854,9.03462681,54.16845015,5.08
2865,9.08374886,27.25476316,6.51
2876,9.11393972,60.32621461,5.78
2889,9.1568796,-65.12444559,6.43
2888,9.15823481,-49.132323,6.79
2900,9.19350416,44.48858693,5.14
2901,9.19377958,54.95736914,6.77
2903,9.19713461,15.23172547,5.89
2907,9.20725351,-76.30958044,6.72
2912,9.22020689,33.71934362,4.34
2920,9.24285251,53.89690937,3.69
2926,9.27995656,24.01413647,6.18
2937,9.32602545,-54.39381901,6.4
2941,9.33625274,-24.76726709,5.57
2942,9.33841421,35.39950145,5.45
2944,9.34384947,-37.28808005,6.99
2948,9.36000049,40.33237779,6.85
2954,9.37704678,3.13535107,6.43
2965,9.41974402,21.09973047,6.84
2968,9.4404186,72.89485346,6.96
2994,9.51892801,-0.50352917,6.64
3025,9.6326926,-20.29657854,6.73
3030,9.63934272,60.32478192,6.77
3031,9.63894077,29.31175144,4.34
3042,9.66924121,-73.13761845,6.87
3045,9.67311851,46.95679872,6.72
3056,9.7032615,-25.10781885,6.43
3058,9.70530786,59.82615132,6.72
3070,9.739621,26.3237563,6.92
3083,9.79122542,49.35458862,5.45
3084,9.79714449,-57.96786156,6.81
3092,9.83198236,30.86102393,3.27
3093,9.84085866,21.25047245,5.88
3114,9.91457696,-85.70087433,6.81
3122,9.93170374,-11.15078115,6.83
3132,9.94686367,82.49376241,6.38
3137,9.96645783,-44.79629257,6.0
3138,9.981549,21.4384951,5.36
3142,9.99093241,-33.96144932,6.68
3145,9.99784227,76.87113516,6.73
3170,10.10695771,-59.45460432,5.89
3175,10.1190937,-16.51667606,6.49
3179,10.12683548,56.53733109,2.24
3185,10.13670406,-23.80487605,6.14
3188,10.13891485,-29.42085913,6.75
3193,10.17655087,-4.3518407,5.9
3231,10.2799355,39.45866407,5.3
3236,10.29947574,9.35505757,6.52
3240,10.30295675,52.19766582,6.74
3245,10.33146537,-46.08500681,4.59
3266,10.3936162,-25.19656326,6.55
3267,10.39425259,65.86821482,6.95
3269,10.40017685,24.62900846,6.06
3277,10.44332165,-56.50131553,5.72
3299,10.51425676,66.14759233,5.83
3300,10.51623134,50.51252576,4.8
3316,10.56067636,-11.80486951,6.78
3330,10.61822148,-65.46803008,5.38
3334,10.62934357,58.75341065,6.18
3346,10.65828704,52.33715372,6.94
3352,10.67479109,-60.26280759,5.99
3356,10.67871585,-38.46348264,6.05
3369,10.71143027,-9.92169123,6.63
3371,10.71979279,16.66246429,6.56
3397,10.82291206,-45.18133594,6.98
3405,10.83849351,-57.46305996,4.36
3414,10.86695727,47.02454625,4.95
3419,10.8973794,-17.9866046,2.04
3436,10.95870021,-12.01181258,6.01
3438,10.96776959,33.31071533,6.92
3445,11.01243397,70.82342565,6.75
3455,11.04750551,-10.60955044,4.77
3456,11.05041376,-38.42168566,5.9
3459,11.05998206,-49.38589269,6.86
3478,11.10913203,47.86398376,5.66
3489,11.13189083,-62.49759073,6.06
3490,11.14745645,-78.08218869,6.61
3497,11.16361558,-65.64952233,6.55
3504,11.1813238,48.2843641,4.48
3505,11.18498226,-22.00613523,5.22
3509,11.20041874,67.15818131,6.9
3517,11.22769673,-63.19662031,6.94
3521,11.23772103,-42.67655849,5.94
3527,11.24975308,-53.71489502,6.15
3532,11.26004159,62.52860388,6.62
3544,11.32156044,55.22139572,5.41
3552,11.35052385,-4.62915989,6.15
3559,11.36953277,-12.8808096,6.15
3572,11.4128236,74.98807307,5.64
3576,11.42378103,-16.42421984,6.47
3583,11.4399708,-47.55198527,5.8
3584,11.44146805,56.77488697,6.95
3604,11.5450561,44.86149712,6.03
3607,11.54897393,-22.52209695,5.49
3611,11.56272073,55.30538063,6.51
3632,11.63732574,15.47550446,5.36
3637,11.65530519,-30.19093613,6.81
3638,11.65753534,46.89378445,6.86
3641,11.66044163,69.32540848,6.39
3649,11.67691363,59.57453908,6.41
3650,11.68682916,21.62432903,6.95
3675,11.75607711,11.97384928,5.51
3685,11.80677889,19.57870241,6.11
3693,11.83468919,24.26717799,4.08
3697,11.84846603,6.74095641,5.98
3717,11.93008447,-18.06133903,5.7
3719,11.93758352,26.29165445,6.93
3721,11.94188855,74.84757295,5.42
3730,11.97845175,20.92534584,6.51
3736,11.99594285,51.44475355,6.86
3741,12.00444392,-21.72249221,5.57
3750,12.03807254,72.67448173,5.86
3755,12.04869953,65.11960982,6.91
3760,12.07254207,7.29992806,5.92
3765,12.09573817,5.28061493,5.74
3781,12.14757205,-74.92343763,5.09
3786,12.17060122,7.58507917,4.44
3787,12.17125692,52.10081065,6.82
3788,12.17196273,-28.49543119,6.78
3801,12.20842239,50.96816767,4.9
3807,12.23636576,-46.69764768,6.28
3810,12.24461788,16.94064377,5.07
3823,12.26941586,14.80920315,6.95
3821,12.27621323,57.81518734,3.46
3834,12.30811653,-24.13667172,5.9
3849,12.35673214,-13.56127432,5.59
3858,12.38929139,-23.36214378,6.27
3865,12.40504485,47.76392743,6.66
3881,12.45353036,41.07891087,4.53
3885,12.47152416,27.71028626,5.55
3889,12.4789787,-0.22413818,6.64
3901,12.50949348,70.77416598,6.9
3903,12.51569613,-43.3949211,6.49
3909,12.53162924,-10.64432569,5.17
3919,12.57609908,45.00225763,6.13
3949,12.6716101,-50.98681565,5.24
3951,12.68171635,64.24754961,5.35
3961,12.71838166,-71.15143334,6.86
3964,12.73438833,77.95352667,6.76
3965,12.73914815,51.50803252,6.38
3979,12.79520033,-5.03927842,6.98
3988,12.81826239,61.80549368,6.04
3992,12.82635023,3.38501997,6.39
3995,12.83279529,-9.40554339,6.89
4006,12.85803493,63.7811688,6.87
4023,12.890783,51.57142663,6.22
4025,12.89536535,12.78477045,6.7
4049,12.96737464,-43.70902997,6.89
4058,12.9878795,33.88998092,6.87
4084,13.10216505,-69.50376382,6.67
4104,13.16926991,-24.00584405,5.47
4127,13.21563797,40.24556974,6.76
4129,13.22241568,38.54883131,6.7
4147,13.2520596,-1.14426019,4.78
4151,13.267486,61.12396986,4.8
4164,13.30191993,-24.77687583,6.44
4185,13.36759762,37.41820943,6.07
4197,13.40406412,29.48930512,6.7
4200,13.40780824,-62.87135169,5.73
4207,13.42222221,-4.52558836,6.53
4212,13.44833067,52.68929342,6.27
4232,13.49630938,-48.79135648,6.82
4257,13.57330376,-8.74066162,6.15
4267,13.64677843,19.18841742,5.8
4283,13.72122324,83.70743556,5.59
4288,13.74211318,23.62833516,5.46
4291,13.74909264,-74.30235609,6.68
4292,13.75065219,58.97269767,4.83
4293,13.75130243,-69.52708424,5.45
4298,13.77168101,48.67852014,6.28
4311,13.7995405,-47.40596527,6.73
4317,13.81113572,24.55706196,6.19
4346,13.9266673,-7.34714891,5.88
4360,13.97069113,-53.19254133,6.61
4363,13.981403,-27.77583946,6.11
4366,13.99378853,27.20938091,6.08
4371,14.00620874,-11.26652632,5.35
4382,14.03800455,13.95196051,6.46
4383,14.05405338,57.99655716,6.2
4390,14.06174388,35.22862139,6.93
4411,14.12783046,42.97878671,6.53
4422,14.1662713,59.18105564,4.62
4427,14.17721554,60.71674038,2.15
4436,14.18838148,38.49934462,3.86
4439,14.19523309,-2.72990906,6.99
4440,14.19572198,60.3628361,5.56
4446,14.22977595,68.77565695,6.39
4449,14.23106877,64.53228327,6.98
4463,14.30166657,23.41764802,4.4
4475,14.33169087,61.4218954,6.44
4496,14.40733536,-18.99862087,6.92
4501,14.41518873,45.83937883,6.1
4500,14.41523361,1.7856123,6.97
4510,14.45896617,28.99221671,5.44
4511,14.45922866,-1.76598106,6.56
4520,14.47713233,13.69586509,6.3
4542,14.541163,39.47537041,6.55
4550,14.55301196,70.49636054,6.97
4552,14.55924644,33.95088455,5.99
4558,14.57871664,21.40449484,6.47
4559,14.58105971,6.84431191,6.74
4563,14.59261908,-60.69623898,6.23
4572,14.62942551,66.35179335,5.97
4577,14.65150376,-29.35744905,4.3
4584,14.67958192,47.03658638,6.84
4587,14.68278241,-11.37997546,5.62
4592,14.69060997,-5.88281622,6.57
4608,14.76269674,27.65713917,6.99
4637,14.88453915,48.96633881,6.9
4655,14.95702752,6.4832252,6.14
4675,15.01483029,44.71324291,5.69
4703,15.116596,21.2491429,6.83
4704,15.12454982,80.54540404,6.67
4709,15.1291865,70.98298844,6.4
