center,target,cfx,cfy,cfz
0,10,-119166356.16007519,5466618.326683639,15266584.18770973
0,10,16778182.538680747,-40825472.42331175,-23553442.799117837
0,10,-276823046.40569615,13413555.79362087,35846331.26908125
0,10,26668778.729884885,-60652847.67498184,-35173600.26411779
0,10,-316028713.63479143,15797946.891631339,41182293.701267734
0,10,25787329.304211434,-54797433.13093605,-31953864.81022574
0,10,-222118558.72673273,11677554.118632525,29251657.13874545
0,10,14560561.610146258,-26202838.422416188,-15511170.276485812
0,10,-37420302.70052683,2860986.9736190075,5405922.035393234
0,10,-2253231.8085527536,12496146.329180874,6910108.863499312
0,10,157266197.24493253,-6866951.797417152,-19961708.324751925
0,10,-17544599.967857923,44406616.48601662,25546493.553133886
0,10,277121330.0769273,-13338074.799520766,-35836669.95128939
0,10,-24803879.380382184,55533218.76425671,32244827.03014181
0,10,269040166.1449367,-13742575.218128162,-35215827.289301574
0,10,-20815706.763215844,40624984.739463724,23865819.486575417
0,10,133555798.1358505,-7789304.253433216,-17998749.99711361
0,10,-6975228.141802553,5260235.379012783,3534623.6419359054
0,10,-76158175.78494194,2198399.037895671,9064393.605446268
0,10,11318077.491765102,-36661168.80882734,-20761912.901877705
0,10,-277459898.22608465,12281617.653226627,35307210.03678354
0,10,26923344.27546215,-68879593.63479996,-39595399.2353005
0,10,-393351084.17095983,18564608.23841462,50670972.88777645
0,10,33913679.020504534,-79585711.11563411,-46041130.431719564
0,10,-384278509.60185426,18800720.847338747,49857394.76756532
0,10,29971015.30390725,-66142708.1733522,-38449661.26803769
0,10,-263019661.38044825,13262448.36669501,34335735.19037601
0,10,17216032.642474618,-35736614.53731689,-20880441.09973595
0,10,-86622509.97828929,4517930.0974938,11388361.683591288
0,10,1148942.358115931,-1783577.2212181585,-1072320.142612744
0,10,70468162.63431865,-3764255.1698055444,-9311940.308368439
0,10,-11805638.835435595,22209437.98159024,13091333.396935424
0,10,149718228.5088004,-8437980.798719205,-20019842.342566248
0,10,-17057251.082516253,28533526.576052975,17015317.048045527
0,10,133225100.38732971,-8206164.848069657,-18187425.978198133
0,10,-13703821.477084454,18289526.61778197,11194125.380766947
0,10,48965605.587387845,-4071532.315957546,-7248799.275816494
0,10,-4691799.273130575,245178.9007867267,618009.8622385671
0,10,-45267916.2179167,1265720.2010237337,5365945.581992213
0,10,4740483.15747812,-13814794.411267672,-7872961.559726078
0,10,-91256394.37081364,4760595.97074008,11998183.10455115
0,10,9588122.794063125,-14987654.901273299,-9002733.88167711
0,10,-58988639.008911625,4485060.6900059935,8508400.78072385
0,10,7398766.280028664,-1586137.7592344615,-1615295.8471611284
0,10,39051637.37754976,515684.89150493825,-3769322.1592971715
0,10,-676784.1223988697,20144205.095538188,10833015.70102414
0,10,154662282.68870807,-5160680.336610983,-18779696.70518888
0,10,-10563682.65852196,39240949.82516472,22062239.113585692
0,10,228386561.3127177,-9664965.146094255,-28824609.310323812
0,10,-17319773.313088257,45597073.445472084,26159425.43096758
0,10,219727856.39674172,-10669825.75959432,-28464904.10261847
0,10,-17570694.836423587,35157539.30811592,20607806.526623435
0,10,128259466.98146512,-7566554.911398476,-17330939.93626958
0,10,-11148595.246514501,12157963.908248318,7652959.630248209
0,10,-4995751.963656576,-1782276.8698210025,-435104.0453526125
0,10,-1143597.555574408,-12767718.245700317,-6702861.674003557
0,10,-117044923.34001613,3916586.9490246354,14218395.445246972
0,10,7655840.5371802775,-27768368.149768494,-15630771.334005577
0,10,-154104396.27178845,6803100.932351633,19600431.519951496
0,10,11170291.027223213,-25747403.330234632,-14915760.374134766
0,10,-99230539.3450896,5575508.832533853,13259944.071329687
0,10,8094102.577147945,-8151342.190774076,-5195178.579118012
0,10,17617993.871628877,1054102.5106820602,-1261221.2024516638
0,10,576169.0682665202,15421413.440596394,8179664.158631136
0,10,132898497.00946887,-4183767.3164957087,-16003017.341053179
0,10,-6857866.5157750705,31783691.760666028,17693376.732540794
0,10,180570025.48762062,-7085083.601412226,-22492280.337331213
0,10,-9644611.331361422,30799515.200262375,17456826.64835901
0,10,126189949.27850126,-5707654.52773009,-16122864.04167925
0,10,-5632721.248178091,10862605.220788844,6388474.6643620515
0,10,-12982765.088694911,-319560.68784487486,1174102.5370842698
0,10,3608865.1281459704,-19613680.48799203,-10853722.355651041
0,10,-172803318.73451117,6574257.708907341,21414892.73941773
0,10,13354838.308852851,-45686266.15297929,-25795454.829854976
0,10,-271099067.99214125,11355168.045711197,34152972.66401863
0,10,17978094.179811496,-52923164.34361488,-30141921.005573735
0,10,-247703999.76090243,11067845.792625353,31575975.61088583
0,10,13847773.555811292,-34723968.372115105,-19989779.317152485
0,10,-96532293.42068394,4999668.291535839,12672473.518517366
0,10,1437930.643250269,3681451.057681591,1817593.0219082248
0,10,126615923.77220592,-4740543.806343899,-15649962.88268915
0,10,-14474406.816196332,46730704.70800745,26469659.14722107
0,10,325829959.7935899,-13998122.273110328,-41235116.15032862
0,10,-26753734.27521023,75126545.18880026,42915591.966834664
0,10,407603927.5061037,-18407106.863194454,-52062951.26119211
0,10,-29172007.595687818,74636752.3357848,42904969.12255017
0,10,324714487.8694434,-15451396.450776832,-41896576.423152424
0,10,-19471990.116858706,42988715.16448934,24989251.996926848
0,10,100495381.69452786,-5765470.991775625,-13492244.137231322
0,10,-717094.8001391526,-8522231.10405044,-4478749.88649856
0,10,-178909039.10163832,6991567.0998171475,22270392.41220291
0,10,19822804.179023203,-59684485.368077874,-33945727.03033717
0,10,-401813862.98714596,17692744.68137596,51081361.410553485
0,10,33833798.214179456,-90286482.69825357,-51750113.672370635
0,10,-481037818.87497044,22042164.98577217,61613173.09580225
0,10,35738585.5800517,-89205130.03694172,-51370136.830090374
0,10,-393350335.9172522,18545163.13765895,50660359.436450675
0,10,25306922.016485836,-59377498.72273582,-34351062.66208915
0,10,-189481112.56749716,9202957.903627276,24547769.503551148
0,10,7812036.442156704,-16254638.42346758,-9495495.173526969
0,10,30366371.947402693,-1424507.7991517256,-3907123.519562602
0,10,-8400528.304273086,19567997.878147125,11326672.0318306
0,10,164027362.34788498,-8362084.721748566,-21461550.384350542
0,10,-15816148.472235357,32050286.56121458,18765443.181369178
