source_id,plx,g,b,r,teff
3527601127200618112,6.117084830309321,8.696317,8.908564,8.3284235,6544.069
3527964584513035008,3.742840341920584,8.240785,8.447811,7.8797293,6853.4746
3528092265300901760,26.24799726857646,5.6529603,5.833816,5.3364143,6813.6226
3528379267899459968,3.1789611926318804,8.129293,8.669916,7.4342604,4852.076
3528581960291853056,6.288903901209488,8.479043,8.654343,8.161345,6963.091
3528861476763613952,3.508844502038254,7.2599263,7.8924775,6.4961753,4814.9937
3528915662071049728,12.475836556774501,6.895465,7.0391684,6.6214104,7096.4136
3529115253495301632,2.4700457693336,8.455868,8.965768,7.7849703,5318.8726
3529140993235259264,2.7730259218711764,6.906432,7.5670996,6.126481,4296.4766
3529229744439363200,7.573690069812827,8.606024,8.8364105,8.21575,6332.5693
3529395598896680704,14.095164039976922,5.988941,6.009172,5.9268684,8866.607
3529415115227988608,12.786118026374783,7.5582714,7.783192,7.1742735,6444.1333
3529439476282427264,2.493778496503767,6.910904,7.6022506,6.106094,4176.7905
3529477340714213504,3.3590904273153575,9.056524,9.290112,8.661267,6407.7734
3529663879733726592,8.946017706114342,9.080293,9.391804,8.595947,5766.1025
3529712739281660928,14.320902586549867,9.492613,9.878153,8.936512,5424.396
3529823824315730432,4.1110204583612395,7.634634,8.012178,7.0768394,5890.567
3529886840076100096,3.8218719461492507,6.198622,6.8821435,5.396504,4718.9985
3530058604408185344,7.919171365052201,6.54389,6.70705,6.243924,7139.013
3530062143461238656,6.687521174440157,6.463451,6.927811,5.8315563,5164.21
3530127461324150656,13.361692430762163,9.106423,9.395015,8.644227,5902.6445
3530193054064616704,12.881931518770092,9.03739,9.358881,8.54511,5688.356
3530193054064617472,2.2716996917669827,7.111637,7.916795,6.235024,4540.895
3530304173458136576,3.6002634117230645,8.575453,8.817467,8.168612,6485.2197
3530345954899881216,2.637975598185787,8.408803,8.917109,7.73953,4809.562
3530792425341234432,2.185656120704281,7.953689,8.660429,7.1391373,4632.372
3530838433029903872,6.41228289117425,8.49345,8.722428,8.105135,6357.426
3530851111774637440,1.5936187825317885,8.776936,8.708236,8.871781,14435.281
3531027755189611520,5.599957605446138,7.08514,7.543315,6.4588895,5203.485
3531296963739811200,56.685934416622786,9.108641,9.98204,8.190586,3888.7915
3531877986915417216,2.0996371889979404,8.767939,9.27812,8.095412,5086.1196
3531901832573828224,8.854954809281676,8.394881,8.636566,7.98835,6203.716
3531940830876939264,15.552119876082568,7.820311,8.086388,7.389926,6051.383
3531962580591978496,5.959471472867374,8.31671,8.578853,7.887246,6044.7256
3532225707467657984,7.11709361576076,6.1975794,6.6533446,5.5723467,5175.744
3532266904794546176,11.707169324628975,9.767468,10.091914,9.271576,5696.165
3532510584058633600,24.279878411453748,8.495732,8.864941,7.952527,5400.8003
3532612598122182272,5.236552531815976,7.2110715,7.30374,6.9537163,10754.045
3532678019063853568,4.351413656091054,8.8043165,8.93229,8.556299,7332.1245
3532823773073745536,45.24819195459114,6.857719,7.2365603,6.3060718,5468.009
3532942829567430272,26.71716034572641,9.991572,10.667834,9.1994095,4339.9863
3532988562379164672,4.935199076385305,9.231305,9.479337,8.813712,6258.0933
3533222689637000960,2.8646397602885765,7.3685384,8.014222,6.5950913,4782.598
3533312677791679744,6.631506364470186,6.4672914,6.9880657,5.785374,4729.8604
3533400054605703680,2.7459741557509565,8.331006,8.841453,7.65799,5024.9346
3533928885339507456,4.980895837193634,7.036361,7.3470364,6.551231,5846.035
3534026840657595008,8.64514236658639,5.8187585,5.8259044,5.772426,9272.863
3534297737130291968,6.313718684319388,8.557003,8.706788,8.277076,7063.0044
3534344084121700480,7.749609059525987,10.384353,10.714314,9.8645735,5622.5024
3534621989981179520,8.836468102186373,7.8031487,8.275418,7.1646276,4978.5435
3534658789261176064,21.00121656496314,7.9832582,8.291984,7.503265,5729.9937
3534805642783327232,3.0894653587821295,7.272016,7.877532,6.52543,4937.2163
3534815435308778368,4.057566551163251,6.775316,7.5077906,5.946314,4335.0337
3535052380064129408,6.238484062594777,6.9195604,7.3772388,6.293426,5174.744
3535063134662163968,4.304135525367879,8.003203,8.062922,7.863565,9628.96
3535220124307191936,5.799218604947771,8.128269,8.277191,7.854168,7302.182
3535230397869344384,4.486035983249373,8.927927,9.3911495,8.297284,4948.904
3535260462639903616,12.355520633738855,7.355,7.4847093,7.0986547,7254.0444
3535474008413791360,0.7368542678602166,8.941194,9.642343,8.12952,4816.1543
3535503970105764480,19.3989982502411,9.687636,10.161617,9.053115,4923.0586
3535654156522608512,1.4147341188620852,8.087802,8.613325,7.4060845,4895.743
3535720505175048960,4.379190575761711,7.8399153,7.8554597,7.7796893,9581.477
3536002392470095872,3.993300351937285,10.29071,10.710299,9.700483,5772.532
3536123338748976256,92.80355717896992,9.466609,10.673943,8.371214,3300.3152
3536192161305491200,2.8627889488632605,9.498405,9.667718,9.211032,7564.768
3536597228261280640,13.301937315147816,9.952163,10.349356,9.385902,5239.5366
3536838433622269440,6.002181828076871,8.437924,8.627357,8.070101,6609.114
3536955222374471552,2.716709371079679,8.446901,8.945622,7.7832017,4974.2188
3537375785572112640,4.260230565921429,8.482049,8.504386,8.412182,9966.863
3537490100421843200,6.6975855438837915,7.873202,8.131693,7.448598,6169.376
3537703508757259648,15.164402024079102,8.896832,9.204099,8.413478,5763.574
3537780405851714432,15.17970329632256,10.471179,11.012007,9.782255,4770.934
3538015632620648832,11.30290036739933,7.0267143,7.1349483,6.809817,7553.24
3538023088683684992,7.1790497394287724,7.255686,7.356932,7.045256,7627.3647
3538141457982396928,23.720584713308806,7.8414516,8.168834,7.3397007,5623.296
3538459491721210880,4.071952772333497,8.117482,8.644106,7.4300227,5013.86
3538521339250060800,4.213853548767545,8.848631,9.011336,8.552718,7054.8896
3538693722056978048,8.00869041346583,8.298563,8.50918,7.931438,6506.17
3538963102407212160,4.31324152748326,5.920781,6.645887,5.0932684,4503.426
3539469015194537216,2.1332345682788816,9.230597,9.384676,8.941992,7243.3677
3539488909482973056,3.86559965784207,8.270171,8.421384,7.956083,7143.2236
3539690017030767360,4.6580398416765885,8.409095,8.916463,7.738796,4748.421
3539823951290865280,9.055512964172411,6.8754973,6.8928885,6.810751,8775.341
3540033580054935808,23.735465568557412,10.134044,10.801092,9.347974,4324.0645
3540214174839805824,1.0757800120238246,7.993606,8.802135,7.115915,4047.075
3540273307949393280,5.106682073462951,6.090047,6.7666006,5.2886677,4867.481
3540477301716195712,2.2471696640840264,7.5579762,8.550626,6.5662527,4784.3813
